country,id,monetary,units,date,New_id,Last_Purchase_date
IN,3961260,3897.72,4,3/23/2020,IN3961260,11/16/2020
IN,3965454,1951.02,2,3/23/2020,IN3965454,11/23/2020
IN,3965454,985.68,1,3/30/2020,IN3965454,11/23/2020
IN,3965454,1221.36,1,3/9/2020,IN3965454,11/23/2020
IN,3966984,582.96,1,3/23/2020,IN3966984,8/24/2020
IN,3971430,1938.72,1,3/16/2020,IN3971430,11/9/2020
IN,3971430,975.48,1,3/16/2020,IN3971430,11/9/2020
IN,3971430,985.68,1,3/23/2020,IN3971430,11/9/2020
IN,3971430,1971.36,2,4/6/2020,IN3971430,11/9/2020
IN,3971430,4885.56,4,3/9/2020,IN3971430,11/9/2020
IN,3971430,1221.36,1,3/23/2020,IN3971430,11/9/2020
IN,3971430,4885.44,4,3/30/2020,IN3971430,11/9/2020
IN,3971430,2442.72,2,4/6/2020,IN3971430,11/9/2020
IN,3976290,1941.18,2,3/9/2020,IN3976290,11/2/2020
IN,3976290,970.62,1,3/23/2020,IN3976290,11/2/2020
IN,3976638,1971.36,2,3/30/2020,IN3976638,11/23/2020
IN,3977364,14632.62,15,3/23/2020,IN3977364,9/7/2020
IN,3999036,1221.36,1,3/16/2020,IN3999036,11/30/2020
IN,3999036,1221.36,1,3/23/2020,IN3999036,11/30/2020
IN,4005108,1938.72,1,3/16/2020,IN4005108,10/26/2020
IN,4009836,1929.72,1,3/9/2020,IN4009836,11/2/2020
IN,4011270,7328.1,6,3/16/2020,IN4011270,3/30/2020
IN,4011270,2442.84,2,3/23/2020,IN4011270,3/30/2020
IN,4011270,3664.08,3,3/30/2020,IN4011270,3/30/2020
IN,4016304,975.48,1,3/16/2020,IN4016304,11/2/2020
IN,4021524,1221.36,1,3/30/2020,IN4021524,3/30/2020
IN,4023738,369.6,1,3/9/2020,IN4023738,3/9/2020
IN,4024182,3664.08,3,3/16/2020,IN4024182,11/9/2020
IN,4024302,1221.36,1,3/9/2020,IN4024302,11/30/2020
